feature,importance
velocity_score,0.40616757772841466
kyc_completeness,0.36831222375144723
withdrawal_to_deposit_ratio,0.30648384352141445
device_changes_30d,0.25641178344860965
failed_login_attempts_30d,0.19735513289129125
activity_gap_flag,0.14897783244508442
days_since_last_activity,0.1455379432241037
contribution_consistency,0.13940411241673184
is_new_account,0.10037886589456231
avg_contribution,0.07196540843326636
num_payment_methods,0.05011219076069355
account_age_days,0.04753977500235464
contribution_count,0.03217498974263008
referral_count,0.005221506530376586
